COUNTY,PRCTSEQ,PRECINCT,BALSEQID,JURISID,SECJURISID,CANDGROUP,OFFICENAME,ELECTDATE,ELECTTYPE,COL1HDG,RNAME1,PARTY1,PVTALLY1,COL2HDG,RNAME2,PARTY2,PVTALLY2,COL3HDG,RNAME3,PARTY3,PVTALLY3,COL4HDG,RNAME4,PARTY4,PVTALLY4,COL5HDG,RNAME5,PARTY5,PVTALLY5,COL6HDG,RNAME6,PARTY6,PVTALLY6,COL7HDG,RNAME7,PARTY7,PVTALLY7,COL8HDG,RNAME8,PARTY8,PVTALLY8,COL9HDG,RNAME9,PARTY9,PVTALLY9,COL10HDG,RNAME10,PARTY10,PVTALLY10
Johnson,0004,3A Trade,0017,03,0,0,Tennessee House of Representatives District 3,2022-11-08,State General,1,Scotty Campbell,Republican,302,2,Write-In - Arvil Love,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0005,3B Neva,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,578,2,Jason Brantley Martin,Democratic,104,3,Constance M. Every,Independent,1,4,John Gentry,Independent,4,5,Basil Marceaux,Independent,0,6,Charles Van Morgan,Independent,1,7,Alfred O'Neil,Independent,0,8,Deborah Rouse,Independent,2,9,Michael E. Scantland,Independent,0,10,Rick Tyler,Independent,1
Johnson,0005,3B Neva,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0005,3B Neva,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,448,2,No,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,0005,3B Neva,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,361,2,No,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0002,2-1 Oakdale High,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,475,2,Jason Brantley Martin,Democratic,33,3,Constance M. Every,Independent,0,4,John Gentry,Independent,3,5,Basil Marceaux,Independent,1,6,Charles Van Morgan,Independent,0,7,Alfred O'Neil,Independent,0,8,Deborah Rouse,Independent,1,9,Michael E. Scantland,Independent,0,10,Rick Tyler,Independent,0
Morgan,0002,2-1 Oakdale High,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0002,2-1 Oakdale High,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,310,2,No,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0002,2-1 Oakdale High,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,289,2,No,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,322,2,Jason Brantley Martin,Democratic,70,3,Constance M. Every,Independent,5,4,John Gentry,Independent,5,5,Basil Marceaux,Independent,1,6,Charles Van Morgan,Independent,5,7,Alfred O'Neil,Independent,1,8,Deborah Rouse,Independent,2,9,Michael E. Scantland,Independent,0,10,Rick Tyler,Independent,2
Van Buren,0001,Spencer 1,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,254,2,No,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,176,2,No,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0006,0,3,0,Constitutional Amendment # 3,2022-11-08,State General,1,Yes,,204,2,No,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0006,0,4,0,Constitutional Amendment # 4,2022-11-08,State General,1,Yes,,194,2,No,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0011,6,0,0,United States House of Representatives District 6,2022-11-08,State General,1,John Rose,Republican,290,2,Randal Cooper,Democratic,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,0001,Spencer 1,0015,15,0,0,Tennessee Senate District 15,2022-11-08,State General,1,Paul Bailey,Republican,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0001,1-1 Fairview,0006,0,3,0,Constitutional Amendment # 3,2022-11-08,State General,1,Yes,,248,2,No,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0001,1-1 Fairview,0006,0,4,0,Constitutional Amendment # 4,2022-11-08,State General,1,Yes,,218,2,No,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0001,1-1 Fairview,0011,3,0,0,United States House of Representatives District 3,2022-11-08,State General,1,Chuck Fleischmann,Republican,380,2,Meg Gorman,Democratic,30,3,Thomas M. Rumba,Independent,0,4,Rick Tyler,Independent,3,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0001,1-1 Fairview,0011,6,0,0,United States House of Representatives District 6,2022-11-08,State General,1,John Rose,Republican,15,2,Randal Cooper,Democratic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0001,1-1 Fairview,0017,38,0,0,Tennessee House of Representatives District 38,2022-11-08,State General,1,Kelly T Keisling,Republican,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0002,2-1 Elgin,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,224,2,Jason Brantley Martin,Democratic,28,3,Constance M. Every,Independent,3,4,John Gentry,Independent,2,5,Basil Marceaux,Independent,0,6,Charles Van Morgan,Independent,0,7,Alfred O'Neil,Independent,0,8,Deborah Rouse,Independent,0,9,Michael E. Scantland,Independent,0,10,Rick Tyler,Independent,1
Scott,0002,2-1 Elgin,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Scott,0002,2-1 Elgin,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,155,2,No,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0005,0,0,1,Governor,2022-11-08,State General,1,Bill Lee,Republican,490,2,Jason Brantley Martin,Democratic,87,3,Constance M. Every,Independent,4,4,John Gentry,Independent,9,5,Basil Marceaux,Independent,1,6,Charles Van Morgan,Independent,3,7,Alfred O'Neil,Independent,0,8,Deborah Rouse,Independent,1,9,Michael E. Scantland,Independent,1,10,Rick Tyler,Independent,2
Morgan,0001,1-1 Coalfield,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,347,2,No,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,338,2,No,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0006,0,3,0,Constitutional Amendment # 3,2022-11-08,State General,1,Yes,,380,2,No,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0006,0,4,0,Constitutional Amendment # 4,2022-11-08,State General,1,Yes,,314,2,No,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0011,3,0,0,United States House of Representatives District 3,2022-11-08,State General,1,Chuck Fleischmann,Republican,510,2,Meg Gorman,Democratic,74,3,Thomas M. Rumba,Independent,5,4,Rick Tyler,Independent,7,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,0001,1-1 Coalfield,0017,41,0,0,Tennessee House of Representatives District 41,2022-11-08,State General,1,Ed Butler,Republican,290,2,John Mark Windle,Independent,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,0003,3 Celina,0005,0,0,2,Governor,2022-11-08,State General,11,Write-In - Curtis Carney,,0,12,Write-In - Stephen C Maxwell,,0,13,Write-In - Kameron Parker Scott,,0,14,Write-In - Lemichael D. Wilson,,0,,,,,,,,,,,,,,,,,,,,,,,,
Clay,0003,3 Celina,0006,0,1,0,Constitutional Amendment # 1,2022-11-08,State General,1,Yes,,159,2,No,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,0003,3 Celina,0006,0,2,0,Constitutional Amendment # 2,2022-11-08,State General,1,Yes,,129,2,No,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
